experiment_id,run_file,node_height_m,target_distance_m,tag_rotation_deg,expected_tags,participating_tags,missing_tags,tag_bearing_deg,valid_position,time,tag,a16,seq,range_cm,pdoa_deg,x_cm,y_cm,clk_ppm,t_us
ground-height-0m-20260825-163632,d030m_r000_run01.csv,0,30,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw03;dw05;dw06;dw07;dw08,90,1,2026-08-26T19:36:04.824+0200,dw04,0F85,11,2955,6,-1569,2504,2.95,62255
ground-height-0m-20260825-163632,d030m_r000_run01.csv,0,30,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw03;dw05;dw06;dw07;dw08,90,1,2026-08-26T19:36:05.024+0200,dw04,0F85,12,2956,9,-1522,2534,2.77,62255
ground-height-0m-20260825-163632,d030m_r000_run01.csv,0,30,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw03;dw05;dw06;dw07;dw08,55,1,2026-08-26T19:36:05.114+0200,dw02,8FB0,53,2962,54,-704,2877,1.75,52368
ground-height-0m-20260825-163632,d030m_r000_run01.csv,0,30,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw03;dw05;dw06;dw07;dw08,90,1,2026-08-26T19:36:05.223+0200,dw04,0F85,13,2959,21,-1305,2656,2.77,62286
ground-height-0m-20260825-163632,d030m_r000_run01.csv,0,30,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw03;dw05;dw06;dw07;dw08,55,1,2026-08-26T19:36:05.314+0200,dw02,8FB0,54,2958,77,-273,2945,1.69,52368
ground-height-0m-20260825-163632,d030m_r000_run01.csv,0,30,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw03;dw05;dw06;dw07;dw08,90,1,2026-08-26T19:36:05.423+0200,dw04,0F85,14,2954,0,-1691,2422,2.83,62316
ground-height-0m-20260825-163632,d030m_r000_run01.csv,0,30,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw03;dw05;dw06;dw07;dw08,90,1,2026-08-26T19:36:05.623+0200,dw04,0F85,15,2955,8,-1539,2523,2.89,62286
ground-height-0m-20260825-163632,d030m_r000_run01.csv,0,30,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw03;dw05;dw06;dw07;dw08,90,1,2026-08-26T19:36:05.824+0200,dw04,0F85,16,2956,22,-1287,2661,2.77,62286
ground-height-0m-20260825-163632,d030m_r000_run01.csv,0,30,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw03;dw05;dw06;dw07;dw08,90,1,2026-08-26T19:36:06.023+0200,dw04,0F85,17,2961,17,-1382,2618,2.83,62286
ground-height-0m-20260825-163632,d030m_r000_run01.csv,0,30,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw03;dw05;dw06;dw07;dw08,90,1,2026-08-26T19:36:06.223+0200,dw04,0F85,18,2958,25,-1235,2688,2.89,62286
ground-height-0m-20260825-163632,d030m_r000_run01.csv,0,30,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw03;dw05;dw06;dw07;dw08,90,1,2026-08-26T19:36:06.423+0200,dw04,0F85,19,2958,5,-1590,2494,2.83,62255
ground-height-0m-20260825-163632,d030m_r000_run01.csv,0,30,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw03;dw05;dw06;dw07;dw08,90,1,2026-08-26T19:36:06.623+0200,dw04,0F85,20,2954,15,-1408,2597,2.83,62255
ground-height-0m-20260825-163632,d030m_r000_run01.csv,0,30,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw03;dw05;dw06;dw07;dw08,90,1,2026-08-26T19:36:06.822+0200,dw04,0F85,21,2956,14,-1435,2584,2.77,62316
ground-height-0m-20260825-163632,d030m_r000_run01.csv,0,30,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw03;dw05;dw06;dw07;dw08,90,1,2026-08-26T19:36:07.023+0200,dw04,0F85,22,2960,14,-1424,2595,2.77,62316
ground-height-0m-20260825-163632,d030m_r000_run01.csv,0,30,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw03;dw05;dw06;dw07;dw08,90,1,2026-08-26T19:36:07.223+0200,dw04,0F85,23,2958,-2,-1738,2393,2.83,62255
ground-height-0m-20260825-163632,d030m_r000_run01.csv,0,30,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw03;dw05;dw06;dw07;dw08,90,1,2026-08-26T19:36:07.423+0200,dw04,0F85,24,2957,20,-1323,2644,2.83,62255
ground-height-0m-20260825-163632,d030m_r000_run01.csv,0,30,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw03;dw05;dw06;dw07;dw08,90,1,2026-08-26T19:36:07.622+0200,dw04,0F85,25,2956,9,-1516,2537,2.77,62286
ground-height-0m-20260825-163632,d030m_r000_run01.csv,0,30,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw03;dw05;dw06;dw07;dw08,90,1,2026-08-26T19:36:07.822+0200,dw04,0F85,26,2957,10,-1509,2542,2.83,62316
