experiment_id,run_file,node_height_m,target_distance_m,tag_rotation_deg,expected_tags,participating_tags,missing_tags,tag_bearing_deg,valid_position,time,tag,a16,seq,range_cm,pdoa_deg,x_cm,y_cm,clk_ppm,t_us
ground-height-4m-20260830-222436,d002m_r000_run01.csv,4,2,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw02;dw03;dw04;dw05;dw07,35,1,2026-09-01T17:29:33.972+0200,dw01,1729,87,426,-165,267,332,4.02,42297
ground-height-4m-20260830-222436,d002m_r000_run01.csv,4,2,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw02;dw03;dw04;dw05;dw07,15,1,2026-09-01T17:29:34.063+0200,dw00,8103,145,434,166,198,386,2.14,32226
ground-height-4m-20260830-222436,d002m_r000_run01.csv,4,2,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw02;dw03;dw04;dw05;dw07,35,1,2026-09-01T17:29:34.172+0200,dw01,1729,88,433,-169,261,346,4.02,42358
ground-height-4m-20260830-222436,d002m_r000_run01.csv,4,2,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw02;dw03;dw04;dw05;dw07,15,1,2026-09-01T17:29:34.262+0200,dw00,8103,146,436,172,215,379,2.02,32257
ground-height-4m-20260830-222436,d002m_r000_run01.csv,4,2,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw02;dw03;dw04;dw05;dw07,35,1,2026-09-01T17:29:34.372+0200,dw01,1729,89,430,-163,275,331,4.02,42297
ground-height-4m-20260830-222436,d002m_r000_run01.csv,4,2,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw02;dw03;dw04;dw05;dw07,15,1,2026-09-01T17:29:34.462+0200,dw00,8103,147,431,163,189,388,2.08,32196
ground-height-4m-20260830-222436,d002m_r000_run01.csv,4,2,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw02;dw03;dw04;dw05;dw07,35,1,2026-09-01T17:29:34.572+0200,dw01,1729,90,428,-169,258,342,4.08,42388
ground-height-4m-20260830-222436,d002m_r000_run01.csv,4,2,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw02;dw03;dw04;dw05;dw07,15,1,2026-09-01T17:29:34.662+0200,dw00,8103,148,436,168,203,385,2.02,32257
ground-height-4m-20260830-222436,d002m_r000_run01.csv,4,2,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw02;dw03;dw04;dw05;dw07,35,1,2026-09-01T17:29:34.772+0200,dw01,1729,91,428,-175,241,354,4.02,42327
ground-height-4m-20260830-222436,d002m_r000_run01.csv,4,2,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw02;dw03;dw04;dw05;dw07,15,1,2026-09-01T17:29:34.862+0200,dw00,8103,149,430,175,220,370,1.99,32287
ground-height-4m-20260830-222436,d002m_r000_run01.csv,4,2,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw02;dw03;dw04;dw05;dw07,35,1,2026-09-01T17:29:34.972+0200,dw01,1729,92,427,-160,279,323,4.08,42297
ground-height-4m-20260830-222436,d002m_r000_run01.csv,4,2,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw02;dw03;dw04;dw05;dw07,15,1,2026-09-01T17:29:35.062+0200,dw00,8103,150,434,-171,256,350,2.14,32196
ground-height-4m-20260830-222436,d002m_r000_run01.csv,4,2,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw02;dw03;dw04;dw05;dw07,35,1,2026-09-01T17:29:35.172+0200,dw01,1729,93,432,-172,252,350,4.08,42327
