experiment_id,run_file,node_height_m,target_distance_m,tag_rotation_deg,expected_tags,participating_tags,missing_tags,tag_bearing_deg,valid_position,time,tag,a16,seq,range_cm,pdoa_deg,x_cm,y_cm,clk_ppm,t_us
ground-height-4m-20260830-222436,d018m_r270_run01.csv,4,18,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw07,105,1,2026-09-01T15:32:01.244+0200,dw05,4B92,231,1814,35,-638,1698,2.44,72326
ground-height-4m-20260830-222436,d018m_r270_run01.csv,4,18,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw07,125,1,2026-09-01T15:32:01.255+0200,dw06,0789,185,1803,73,-214,1790,1.87,82305
ground-height-4m-20260830-222436,d018m_r270_run01.csv,4,18,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw07,75,1,2026-09-01T15:32:01.284+0200,dw03,021B,43,1806,-36,-1437,1094,1.75,12329
ground-height-4m-20260830-222436,d018m_r270_run01.csv,4,18,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw07,55,1,2026-09-01T15:32:01.325+0200,dw02,8FB0,86,1813,-92,1813,0,2.71,52337
ground-height-4m-20260830-222436,d018m_r270_run01.csv,4,18,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw07,90,1,2026-09-01T15:32:01.334+0200,dw04,0F85,9,1811,2,-1012,1501,4.02,62255
ground-height-4m-20260830-222436,d018m_r270_run01.csv,4,18,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw07,105,1,2026-09-01T15:32:01.445+0200,dw05,4B92,232,1816,34,-657,1693,2.44,72235
ground-height-4m-20260830-222436,d018m_r270_run01.csv,4,18,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw07,125,1,2026-09-01T15:32:01.454+0200,dw06,0789,186,1805,79,-147,1799,1.81,82275
ground-height-4m-20260830-222436,d018m_r270_run01.csv,4,18,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw07,75,1,2026-09-01T15:32:01.485+0200,dw03,021B,44,1803,-37,-1446,1077,1.75,12298
ground-height-4m-20260830-222436,d018m_r270_run01.csv,4,18,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw07,55,1,2026-09-01T15:32:01.525+0200,dw02,8FB0,87,1811,-83,-1811,0,2.59,52337
ground-height-4m-20260830-222436,d018m_r270_run01.csv,4,18,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw07,90,1,2026-09-01T15:32:01.534+0200,dw04,0F85,10,1814,1,-1016,1502,4.02,62255
